Date,Open,High,Low,Close,AdjClose,Volume
2022-12-07,5800.00 ,5900.00 ,5700.00 ,5725.00 ,5246.18 ,116677600.00 
2022-12-06,6000.00 ,6025.00 ,5800.00 ,5875.00 ,5383.64 ,69873000.00 
2022-12-05,6075.00 ,6100.00 ,6000.00 ,6025.00 ,5521.09 ,64357800.00 
2022-12-02,6175.00 ,6175.00 ,6050.00 ,6125.00 ,5612.73 ,51843800.00 
2022-12-01,6100.00 ,6200.00 ,6100.00 ,6175.00 ,5658.55 ,88307900.00 
2022-11-30,6050.00 ,6200.00 ,6025.00 ,6050.00 ,5544.00 ,191276100.00 
2022-11-29,6125.00 ,6150.00 ,6025.00 ,6050.00 ,5544.00 ,121505900.00 
2022-11-28,6175.00 ,6275.00 ,6150.00 ,6225.00 ,5704.36 ,37901700.00 
2022-11-25,6175.00 ,6200.00 ,6125.00 ,6175.00 ,5658.55 ,40948100.00 
2022-11-24,6200.00 ,6275.00 ,6200.00 ,6200.00 ,5681.45 ,21534300.00 
2022-11-23,6275.00 ,6300.00 ,6200.00 ,6200.00 ,5681.45 ,30863200.00 
2022-11-22,6325.00 ,6350.00 ,6225.00 ,6225.00 ,5704.36 ,33102700.00 
2022-11-21,6275.00 ,6350.00 ,6250.00 ,6325.00 ,5796.00 ,19074900.00 
2022-11-18,6275.00 ,6300.00 ,6200.00 ,6225.00 ,5704.36 ,29302300.00 
2022-11-17,6200.00 ,6300.00 ,6050.00 ,6300.00 ,5773.09 ,35165100.00 
2022-11-16,6175.00 ,6200.00 ,6100.00 ,6175.00 ,5658.55 ,60298900.00 
2022-11-15,6300.00 ,6350.00 ,6200.00 ,6225.00 ,5704.36 ,65536000.00 
2022-11-14,6450.00 ,6475.00 ,6300.00 ,6300.00 ,5773.09 ,46011200.00 
2022-11-11,6600.00 ,6625.00 ,6450.00 ,6450.00 ,5910.55 ,50938200.00 
2022-11-10,6550.00 ,6550.00 ,6450.00 ,6525.00 ,5979.27 ,33770400.00 
2022-11-09,6525.00 ,6550.00 ,6475.00 ,6550.00 ,6002.18 ,45144800.00 
2022-11-08,6500.00 ,6525.00 ,6450.00 ,6525.00 ,5979.27 ,35241500.00 
2022-11-07,6425.00 ,6500.00 ,6425.00 ,6500.00 ,5956.36 ,41824000.00 
2022-11-04,6350.00 ,6425.00 ,6350.00 ,6425.00 ,5887.64 ,60465200.00 
2022-11-03,6375.00 ,6425.00 ,6350.00 ,6375.00 ,5841.82 ,29905800.00 
2022-11-02,6525.00 ,6550.00 ,6375.00 ,6425.00 ,5887.64 ,59695600.00 
2022-11-01,6650.00 ,6675.00 ,6475.00 ,6575.00 ,6025.09 ,59240700.00 
2022-10-31,6550.00 ,6650.00 ,6550.00 ,6650.00 ,6093.82 ,45774000.00 
2022-10-28,6650.00 ,6650.00 ,6500.00 ,6550.00 ,6002.18 ,28492900.00 
2022-10-27,6575.00 ,6675.00 ,6525.00 ,6650.00 ,6093.82 ,30429800.00 
2022-10-26,6700.00 ,6700.00 ,6575.00 ,6575.00 ,6025.09 ,36289700.00 
2022-10-25,6700.00 ,6700.00 ,6600.00 ,6700.00 ,6139.64 ,37836000.00 
2022-10-24,6575.00 ,6700.00 ,6575.00 ,6650.00 ,6093.82 ,37202900.00 
2022-10-21,6475.00 ,6675.00 ,6450.00 ,6575.00 ,6025.09 ,52148500.00 
2022-10-20,6500.00 ,6525.00 ,6400.00 ,6425.00 ,5887.64 ,32226200.00 
